DateTime,Metric,Capacity,CR,TR,beta,r2
2017-09-12T18:26:00,27205.48,55385.50,28180.02,366.00,0.000000,0.000000
2017-09-12T18:31:00,27205.49,55385.50,28180.01,366.00,0.005859,1.000000
2017-09-12T18:36:00,27205.49,55385.50,28180.01,366.00,0.002930,1.600000
2017-09-12T18:41:00,27205.49,55385.50,28180.01,366.00,0.001758,1.795918
2017-09-12T18:46:00,27205.49,55385.50,28180.01,366.00,0.001172,1.892683
2017-09-12T18:51:00,27205.49,55385.50,28180.01,366.00,0.000837,1.950275
2017-09-12T18:56:00,27205.49,55385.50,28180.01,366.00,0.000628,1.988452
2017-09-12T19:01:00,27205.49,55385.50,28180.01,366.00,0.000488,2.015607
2017-09-12T19:06:00,27205.49,55385.50,28180.01,366.00,0.000391,2.035906
2017-09-12T19:11:00,27205.49,55385.50,28180.01,366.00,0.000320,2.051654
2017-09-12T19:16:00,27205.49,55385.50,28180.01,366.00,0.000266,2.064226
2017-09-12T19:21:00,27205.49,55385.50,28180.01,366.00,0.000225,2.074494
2017-09-12T19:26:00,27205.49,55385.50,28180.01,366.00,0.000193,2.083038
2017-09-12T19:31:00,27205.49,55385.50,28180.01,366.00,0.000223,1.899352
2017-09-12T19:36:00,27205.49,55385.50,28180.01,366.00,0.000237,1.757438
2017-09-12T19:41:00,27205.49,55385.50,28180.01,366.00,0.000241,1.647121
2017-09-12T19:46:00,27205.49,55385.50,28180.01,366.00,0.000239,1.560760
2017-09-12T19:51:00,27205.49,55385.50,28180.01,366.00,0.000234,1.492701
2017-09-12T19:56:00,27205.49,55385.50,28180.01,366.00,0.000226,1.438754
2017-09-12T20:01:00,27205.49,55385.50,28180.01,366.00,0.000217,1.395795
2017-09-12T20:06:00,27205.49,55385.50,28180.01,366.00,0.000208,1.361467
2017-09-12T20:11:00,27205.49,55385.50,28180.01,366.00,0.000199,1.333977
2017-09-12T20:16:00,27205.49,55385.50,28180.01,366.00,0.000189,1.311947
2017-09-12T20:21:00,27205.49,55385.50,28180.01,366.00,0.000180,1.294309
2017-09-12T20:26:00,27205.49,55385.50,28180.01,366.00,0.000171,1.280224
2017-09-12T20:31:00,27205.49,55385.50,28180.01,366.00,0.000163,1.269032
2017-09-12T20:36:00,27205.49,55385.50,28180.01,366.00,0.000155,1.260207
2017-09-12T20:41:00,27205.49,55385.50,28180.01,366.00,0.000148,1.253328
2017-09-12T20:46:00,27205.49,55385.50,28180.01,366.00,0.000140,1.248054
2017-09-12T20:51:00,27205.49,55385.50,28180.01,366.00,0.000134,1.244109
2017-09-12T20:56:00,27205.49,55385.50,28180.01,366.00,0.000128,1.241268
2017-09-12T21:01:00,27205.49,55385.50,28180.01,366.00,0.000122,1.239346
2017-09-12T21:06:00,27205.49,55385.50,28180.01,366.00,0.000116,1.238191
2017-09-12T21:11:00,27205.49,55385.50,28180.01,366.00,0.000111,1.237676
2017-09-12T21:16:00,27205.49,55385.50,28180.01,366.00,0.000106,1.237697
