DateTime,Metric,Capacity,CR,TR,beta,r2
2017-08-29T01:45:00,4945.60,19177.78,14232.19,366.00,0.000000,0.000000
2017-08-29T01:50:00,4632.71,19177.78,14082.01,366.00,-312.885254,1.000000
2017-08-29T01:55:00,3511.63,19177.78,15295.91,366.00,-716.985352,0.434159
2017-08-29T02:00:00,3981.37,19177.78,14540.39,366.00,-401.376587,0.990402
2017-08-29T02:05:00,4618.97,19177.78,14437.12,366.00,-130.460034,1.847153
2017-08-29T02:10:00,4777.10,19177.78,14345.37,366.00,-11.827197,1.999325
2017-08-29T02:15:00,4619.37,19177.78,14338.60,366.00,14.908447,1.988432
2017-08-29T02:20:00,4140.86,19177.78,14413.01,366.00,-15.069194,1.967072
2017-08-29T02:25:00,4693.02,19177.78,14270.98,366.00,8.756531,1.951622
2017-08-29T02:30:00,4533.29,19177.78,14276.97,366.00,11.695551,1.945126
2017-08-29T02:35:00,4838.97,19177.78,14223.04,366.00,26.661479,1.870173
2017-08-29T02:40:00,3581.93,19177.78,14081.23,366.00,-14.077457,1.754757
2017-08-29T02:45:00,4643.29,19177.78,14078.31,366.00,-3.245825,1.757474
2017-08-29T02:50:00,4001.62,19177.78,14128.69,366.00,-14.678136,1.714862
2017-08-29T02:55:00,5782.19,19177.78,13813.32,366.00,22.772250,1.523763
2017-08-29T03:00:00,5834.68,19177.78,13434.66,366.00,48.486346,1.332266
2017-08-29T03:05:00,5838.10,19177.78,13246.60,366.00,65.249630,1.175228
2017-08-29T03:10:00,5048.90,19177.78,13231.97,366.00,62.023024,1.157990
2017-08-29T03:15:00,3920.48,19177.78,13299.87,366.00,40.916974,1.275648
2017-08-29T03:20:00,4451.50,19177.78,13257.28,366.00,32.541136,1.306900
2017-08-29T03:25:00,3744.49,19177.78,13273.69,366.00,16.736346,1.352658
2017-08-29T03:30:00,3696.61,19177.78,13270.42,366.00,4.100928,1.360156
2017-08-29T03:35:00,3978.78,19177.78,13301.31,366.00,-2.490497,1.355173
2017-08-29T03:40:00,3621.39,19177.78,13297.32,366.00,-11.114929,1.328073
2017-08-29T03:45:00,3933.81,19177.78,13331.38,366.00,-14.842222,1.310060
2017-08-29T03:50:00,3913.80,19177.78,13359.79,366.00,-17.817243,1.289817
2017-08-29T03:55:00,3636.39,19177.78,13374.80,366.00,-22.238605,1.252284
2017-08-29T04:00:00,3506.13,19177.78,13400.00,366.00,-26.576097,1.206034
2017-08-29T04:05:00,3714.41,19177.78,13417.70,366.00,-28.456261,1.175847
2017-08-29T04:10:00,3696.31,19177.78,13440.54,366.00,-29.917883,1.146316
2017-08-29T04:15:00,3735.56,19177.78,13468.39,366.00,-30.695934,1.121611
2017-08-29T04:20:00,3942.50,19177.78,13488.29,366.00,-29.986714,1.113043
2017-08-29T04:25:00,4321.73,19177.78,13503.10,366.00,-27.210561,1.130116
2017-08-29T04:30:00,5853.15,19177.78,13357.31,366.00,-17.037652,1.203774
2017-08-29T04:35:00,3608.17,19177.78,13292.82,366.00,-19.121050,1.179179
2017-08-29T04:40:00,3519.78,19177.78,13317.57,366.00,-21.188023,1.150763
2017-08-29T04:45:00,3707.22,19177.78,13319.15,366.00,-22.047119,1.132262
2017-08-29T04:50:00,3561.68,19177.78,13351.24,366.00,-23.277509,1.107581
2017-08-29T04:55:00,3547.42,19177.78,13373.72,366.00,-24.293373,1.083413
2017-08-29T05:00:00,3634.25,19177.78,13395.86,366.00,-24.757750,1.064909
2017-08-29T05:05:00,3646.81,19177.78,13418.73,366.00,-25.027375,1.048210
2017-08-29T05:10:00,3942.17,19177.78,13439.67,366.00,-24.195883,1.047429
2017-08-29T05:15:00,3574.16,19177.78,13457.66,366.00,-24.565446,1.028692
2017-08-29T05:20:00,3533.82,19177.78,13478.43,366.00,-24.934647,1.009194
2017-08-29T05:25:00,3488.48,19177.78,13494.09,366.00,-25.315907,0.988774
2017-08-29T05:30:00,3517.41,19177.78,13515.43,366.00,-25.499019,0.971112
2017-08-29T05:35:00,3542.65,19177.78,13534.03,366.00,-25.524798,0.955890
2017-08-29T05:40:00,4526.19,19177.78,13517.96,366.00,-22.973319,0.991889
2017-08-29T05:45:00,5292.43,19177.78,13468.22,366.00,-18.789021,1.056288
2017-08-29T05:50:00,3638.90,19177.78,13444.35,366.00,-18.933584,1.044701
2017-08-29T05:55:00,3877.78,19177.78,13462.37,366.00,-18.478516,1.043036
2017-08-29T06:00:00,3547.15,19177.78,13475.67,366.00,-18.753538,1.028793
2017-08-29T06:05:00,3565.96,19177.78,13500.78,366.00,-18.919830,1.015980
2017-08-29T06:10:00,3581.11,19177.78,13516.65,366.00,-18.999487,1.004420
2017-08-29T06:15:00,3698.62,19177.78,13534.74,366.00,-18.804834,0.998066
2017-08-29T06:20:00,4443.71,19177.78,13531.45,366.00,-17.194413,1.021425
2017-08-29T06:25:00,3575.14,19177.78,13539.01,366.00,-17.292826,1.010352
2017-08-29T06:30:00,3517.81,19177.78,13554.86,366.00,-17.451596,0.997731
2017-08-29T06:35:00,3526.71,19177.78,13565.81,366.00,-17.550091,0.986046
2017-08-29T06:40:00,3538.46,19177.78,13584.44,366.00,-17.591032,0.975375
2017-08-29T06:45:00,3501.84,19177.78,13599.24,366.00,-17.658255,0.963920
2017-08-29T06:50:00,3477.71,19177.78,13613.40,366.00,-17.729124,0.952175
2017-08-29T06:55:00,3477.63,19177.78,13627.22,366.00,-17.767190,0.941025
2017-08-29T07:00:00,3654.88,19177.78,13641.00,366.00,-17.520521,0.936938
2017-08-29T07:05:00,3522.12,19177.78,13654.85,366.00,-17.457104,0.928286
2017-08-29T07:10:00,3482.06,19177.78,13668.59,366.00,-17.429956,0.918672
2017-08-29T07:15:00,3498.94,19177.78,13680.57,366.00,-17.359988,0.910166
2017-08-29T07:20:00,3481.26,19177.78,13694.21,366.00,-17.296418,0.901496
2017-08-29T07:25:00,3512.92,19177.78,13707.22,366.00,-17.177404,0.894413
2017-08-29T07:30:00,3475.01,19177.78,13719.60,366.00,-17.093330,0.886396
2017-08-29T07:35:00,3526.73,19177.78,13732.08,366.00,-16.935402,0.880630
2017-08-29T07:40:00,3561.84,19177.78,13744.03,366.00,-16.730859,0.876446
2017-08-29T07:45:00,3514.20,19177.78,13756.47,366.00,-16.577006,0.870861
2017-08-29T07:50:00,3491.86,19177.78,13768.10,366.00,-16.441527,0.864831
2017-08-29T07:55:00,3494.75,19177.78,13779.42,366.00,-16.296249,0.859240
2017-08-29T08:00:00,3490.27,19177.78,13791.13,366.00,-16.150023,0.853818
2017-08-29T08:05:00,3505.02,19177.78,13802.49,366.00,-15.984028,0.849207
2017-08-29T08:10:00,4421.88,19177.78,13789.35,366.00,-14.922162,0.879934
2017-08-29T08:15:00,5842.27,19177.78,13690.91,366.00,-12.576293,0.962517
2017-08-29T08:20:00,4733.91,19177.78,13665.30,366.00,-11.416637,0.990473
2017-08-29T08:25:00,3530.69,19177.78,13659.23,366.00,-11.417389,0.984727
