DateTime,Metric,Capacity,CR,TR,beta, beta_std
2017-09-13T12:51:00,72852.09,262399.97,189547.88,366.00,0.000000,0.000000
2017-09-13T12:56:00,69267.51,262399.97,193132.46,366.00,-3584.585938,0.000000
2017-09-13T13:01:00,66240.89,262399.97,196103.25,366.00,-3305.601563,2565.208127
2017-09-13T13:06:00,68642.01,262399.97,192997.23,366.00,-1565.687500,2163.267497
2017-09-13T13:11:00,72487.91,262399.97,188462.75,366.00,-135.387500,1806.850067
2017-09-13T13:16:00,68587.83,262399.97,190254.34,366.00,-264.543304,1187.786626
2017-09-13T13:21:00,73528.89,262399.97,0.00,2.65,247.073103,931.818673
2017-09-13T13:26:00,67281.32,262399.97,189229.08,366.00,-80.973679,737.478977
2017-09-13T13:31:00,80514.04,262399.97,0.00,0.97,653.517318,784.430172
2017-09-13T13:36:00,75797.59,262399.97,0.00,0.86,734.532528,628.423888
2017-09-13T13:41:00,109485.02,262399.97,0.00,0.25,2276.581605,1194.074586
2017-09-13T13:46:00,67064.36,262399.97,0.00,0.39,1447.100770,1145.581348
2017-09-13T13:51:00,68149.42,262399.97,0.00,0.61,933.830872,1028.822774
2017-09-13T13:56:00,66354.85,262399.97,0.00,1.09,533.249760,920.988372
2017-09-13T14:01:00,66646.12,262399.97,0.00,2.20,266.822433,816.924864
2017-09-13T14:06:00,68667.05,262399.97,0.00,4.65,127.244922,720.243091
2017-09-13T14:11:00,72430.76,262399.97,0.00,5.78,102.759536,635.395239
2017-09-13T14:16:00,68574.36,262399.97,0.00,37.11,16.117897,567.343062
2017-09-13T14:21:00,65934.68,262399.97,173132.46,366.00,-87.832922,511.835420
2017-09-13T14:26:00,66337.55,262399.97,174790.91,366.00,-156.558406,462.610931
2017-09-13T14:31:00,67629.93,262399.97,175989.22,366.00,-188.615797,418.944684
2017-09-13T14:36:00,65926.76,262399.97,177104.88,366.00,-230.649682,381.706570
2017-09-13T14:41:00,65492.84,262399.97,178423.81,366.00,-264.841422,349.116304
2017-09-13T14:46:00,67728.63,262399.97,178852.90,366.00,-266.162797,319.971456
2017-09-13T14:51:00,66890.15,262399.97,179388.54,366.00,-272.474333,294.357491
2017-09-13T14:56:00,76175.42,262399.97,176645.80,366.00,-195.747098,275.872789
2017-09-13T15:01:00,77037.42,262399.97,174447.48,366.00,-126.457649,259.026757
2017-09-13T15:06:00,81498.09,262399.97,173283.51,366.00,-37.096969,246.818277
2017-09-13T15:11:00,71699.82,262399.97,174546.89,366.00,-32.310549,229.794434
2017-09-13T15:16:00,84535.74,262399.97,0.00,11.01,54.601202,221.078390
2017-09-13T15:21:00,115785.82,262399.97,0.00,1.77,314.424995,261.580894
2017-09-13T15:26:00,70225.02,262399.97,0.00,2.09,267.829701,246.885470
2017-09-13T15:31:00,68121.69,262399.97,0.00,2.60,216.527903,234.038074
2017-09-13T15:36:00,67428.38,262399.97,0.00,3.34,169.174642,222.162653
2017-09-13T15:41:00,65171.82,262399.97,0.00,4.83,117.936990,211.789870
2017-09-13T15:46:00,66568.01,262399.97,0.00,7.11,80.535214,201.314940
2017-09-13T15:51:00,65419.02,262399.97,0.00,13.20,43.632488,191.750272
2017-09-13T15:56:00,67257.29,262399.97,0.00,29.65,19.523423,182.243355
2017-09-13T16:01:00,65726.89,262399.97,167575.51,366.00,-7.023248,173.643355
2017-09-13T16:06:00,67576.36,262399.97,168350.49,366.00,-22.990118,165.240416
2017-09-13T16:11:00,68142.09,262399.97,169006.66,366.00,-34.680335,157.334868
2017-09-13T16:16:00,71003.02,262399.97,169256.32,366.00,-35.158231,149.838656
2017-09-13T16:21:00,64795.66,262399.97,170194.40,366.00,-55.146051,143.376721
2017-09-13T16:26:00,65675.42,262399.97,170951.17,366.00,-69.696355,137.138525
2017-09-13T16:31:00,68539.45,262399.97,171326.29,366.00,-73.887410,131.064838
2017-09-13T16:36:00,64840.49,262399.97,172113.10,366.00,-87.615402,125.636892
2017-09-13T16:41:00,65426.86,262399.97,172768.76,366.00,-97.871388,120.446897
2017-09-13T16:46:00,68579.29,262399.97,172963.30,366.00,-98.606127,115.426898
2017-09-13T16:51:00,66108.09,262399.97,173560.82,366.00,-105.064920,110.781769
2017-09-13T16:56:00,65798.95,262399.97,174109.70,366.00,-111.259249,106.413862
2017-09-13T17:01:00,121278.09,262399.97,63631.60,62.52,9.017274,125.190129
2017-09-13T17:06:00,76626.36,262399.97,0.00,30.10,18.709951,120.513812
2017-09-13T17:11:00,73608.49,262399.97,0.00,26.87,20.979994,115.972462
2017-09-13T17:16:00,70829.59,262399.97,0.00,32.56,17.350647,111.696867
2017-09-13T17:21:00,68069.69,262399.97,68005.98,65.18,8.692862,107.758631
2017-09-13T17:26:00,66923.59,262399.97,163589.57,366.00,-1.240517,104.078816
2017-09-13T17:31:00,66669.69,262399.97,164148.77,366.00,-10.622878,100.582473
2017-09-13T17:36:00,68246.12,262399.97,164659.57,366.00,-16.284875,97.172027
2017-09-13T17:41:00,70025.96,262399.97,164995.92,366.00,-18.345983,93.885173
2017-09-13T17:46:00,66721.83,262399.97,165497.21,366.00,-25.594275,90.857917
2017-09-13T17:51:00,66505.69,262399.97,166020.60,366.00,-32.454912,87.973474
2017-09-13T17:56:00,66471.05,262399.97,166521.43,366.00,-38.676039,85.215690
2017-09-13T18:01:00,66661.55,262399.97,166989.37,366.00,-43.982158,82.570346
2017-09-13T18:06:00,72322.95,262399.97,166856.82,366.00,-40.577231,80.015106
2017-09-13T18:11:00,95575.29,262399.97,160318.44,366.00,-4.899568,80.410450
2017-09-13T18:16:00,98785.93,262399.97,0.00,17.58,31.994501,81.006914
2017-09-13T18:21:00,103996.75,262399.97,0.00,7.63,72.502026,82.200851
2017-09-13T18:26:00,99277.29,262399.97,0.00,5.28,103.411128,81.872907
2017-09-13T18:31:00,99533.95,262399.97,0.00,4.10,131.899650,81.283063
2017-09-13T18:36:00,99481.95,262399.97,0.00,3.40,157.793073,80.445299
2017-09-13T18:41:00,150685.66,262399.97,0.00,2.08,241.472142,92.640477
