DateTime,Metric,Capacity,CR,TR,beta,r2
2017-09-13T18:01:00,84651.43,191999.97,53837.66,366.00,132.499736,1.072633
2017-09-13T18:06:00,100238.52,191999.97,54019.96,366.00,126.694210,1.074270
2017-09-13T18:11:00,86891.77,191999.97,54303.64,366.00,108.204740,1.081518
2017-09-13T18:16:00,80718.66,191999.97,54555.50,366.00,85.121155,1.089022
2017-09-13T18:21:00,82203.29,191999.97,54746.74,366.00,65.021927,1.094032
2017-09-13T18:26:00,90140.07,191999.97,55015.14,366.00,53.486112,1.096407
2017-09-13T18:31:00,84545.22,191999.97,55295.66,366.00,37.794608,1.098713
2017-09-13T18:36:00,95312.75,191999.97,55526.35,366.00,32.444275,1.099403
2017-09-13T18:41:00,87463.93,191999.97,55766.46,366.00,20.844204,1.100339
2017-09-13T18:46:00,86567.33,191999.97,56050.66,366.00,9.290886,1.100645
2017-09-13T18:51:00,86333.50,191999.97,56274.88,366.00,-1.669879,1.100330
2017-09-13T18:56:00,87591.73,191999.97,56552.64,366.00,-10.904530,1.099619
2017-09-13T19:01:00,87309.44,191999.97,56812.93,366.00,-19.731599,1.098474
2017-09-13T19:06:00,113034.71,191999.97,56448.79,366.00,-8.692161,1.098749
2017-09-13T19:11:00,88276.77,191999.97,56559.17,366.00,-16.503826,1.097843
2017-09-13T19:16:00,88790.90,191999.97,56814.03,366.00,-23.431344,1.096717
2017-09-13T19:21:00,86029.08,191999.97,56957.98,366.00,-31.837113,1.094824
2017-09-13T19:26:00,86103.84,191999.97,57266.16,366.00,-39.638947,1.092599
2017-09-13T19:31:00,91075.48,191999.97,57492.41,366.00,-43.586234,1.091268
2017-09-13T19:36:00,101826.64,191999.97,57579.10,366.00,-40.187608,1.091967
2017-09-13T19:41:00,85852.98,191999.97,57741.22,366.00,-47.263432,1.089341
2017-09-13T19:46:00,92230.71,191999.97,57959.99,366.00,-49.855176,1.088157
2017-09-13T19:51:00,86415.30,191999.97,58136.14,366.00,-55.857033,1.085341
2017-09-13T19:56:00,80481.37,191999.97,58372.73,366.00,-65.064888,1.080354
2017-09-13T20:01:00,88631.60,191999.97,58557.32,366.00,-68.850837,1.077874
2017-09-13T20:06:00,102827.46,191999.97,58557.70,366.00,-64.108361,1.079658
2017-09-13T20:11:00,83103.98,191999.97,58697.24,366.00,-70.866947,1.075275
2017-09-13T20:16:00,82186.88,191999.97,58853.58,366.00,-77.713392,1.070315
2017-09-13T20:21:00,87775.70,191999.97,59009.54,366.00,-81.058893,1.067357
2017-09-13T20:26:00,84182.63,191999.97,59280.51,366.00,-86.110102,1.062903
2017-09-13T20:31:00,83531.13,191999.97,59482.76,366.00,-91.179828,1.058064
2017-09-13T20:36:00,100421.41,191999.97,59504.95,366.00,-87.153582,1.060120
2017-09-13T20:41:00,82043.19,191999.97,59644.68,366.00,-92.669575,1.054630
2017-09-13T20:46:00,81984.63,191999.97,59830.86,366.00,-97.870384,1.048995
2017-09-13T20:51:00,84606.94,191999.97,59955.21,366.00,-101.455928,1.044493
2017-09-13T20:56:00,78771.65,191999.97,60201.88,366.00,-107.618415,1.037155
2017-09-13T21:01:00,86874.19,191999.97,60373.84,366.00,-109.564311,1.033718
2017-09-13T21:06:00,109926.17,191999.97,60092.13,366.00,-100.620832,1.041099
2017-09-13T21:11:00,88404.22,191999.97,60236.39,366.00,-101.943690,1.038473
2017-09-13T21:16:00,82386.54,191999.97,60352.67,366.00,-105.859470,1.033023
2017-09-13T21:21:00,83570.50,191999.97,60436.95,366.00,-109.005959,1.028121
2017-09-13T21:26:00,93657.80,191999.97,60583.40,366.00,-107.562573,1.028174
2017-09-13T21:31:00,84661.87,191999.97,60780.31,366.00,-109.989256,1.023839
2017-09-13T21:36:00,96090.88,191999.97,60888.61,366.00,-107.447302,1.025193
2017-09-13T21:41:00,88138.38,191999.97,61038.07,366.00,-108.272107,1.022627
2017-09-13T21:46:00,79042.28,191999.97,61197.63,366.00,-112.709773,1.015546
2017-09-13T21:51:00,82300.18,191999.97,61308.36,366.00,-115.585038,1.010106
2017-09-13T21:56:00,83218.56,191999.97,61502.57,366.00,-117.915554,1.005161
2017-09-13T22:01:00,84118.28,191999.97,61702.84,366.00,-119.741186,1.000723
2017-09-13T22:06:00,99407.19,191999.97,61712.51,366.00,-115.610616,1.004552
2017-09-13T22:11:00,86080.48,191999.97,61864.11,366.00,-116.627184,1.001213
2017-09-13T22:16:00,81286.47,191999.97,62002.27,366.00,-119.322873,0.995397
2017-09-13T22:21:00,83620.24,191999.97,62102.62,366.00,-121.002775,0.990854
2017-09-13T22:26:00,82387.17,191999.97,62312.93,366.00,-123.003620,0.985694
2017-09-13T22:31:00,86530.57,191999.97,62480.02,366.00,-123.410393,0.982844
2017-09-13T22:36:00,95425.88,191999.97,62568.58,366.00,-120.669489,0.985033
2017-09-13T22:41:00,82774.16,191999.97,62708.92,366.00,-122.333954,0.980198
2017-09-13T22:46:00,90279.68,191999.97,62843.55,366.00,-121.356439,0.979556
2017-09-13T22:51:00,83102.89,191999.97,62953.48,366.00,-122.762156,0.974981
2017-09-13T22:56:00,77897.15,191999.97,63136.97,366.00,-125.767420,0.967657
2017-09-13T23:01:00,86832.59,191999.97,63246.76,366.00,-125.724082,0.965310
2017-09-13T23:06:00,98931.95,191999.97,63249.41,366.00,-121.802868,0.970071
2017-09-13T23:11:00,81294.80,191999.97,63377.45,366.00,-123.528369,0.964715
2017-09-13T23:16:00,81963.10,191999.97,63478.88,366.00,-124.936314,0.959781
2017-09-13T23:21:00,83662.37,191999.97,63579.66,366.00,-125.730305,0.955844
2017-09-13T23:26:00,84336.50,191999.97,63785.64,366.00,-126.251290,0.952344
2017-09-13T23:31:00,84436.92,191999.97,63929.35,366.00,-126.683592,0.948957
2017-09-13T23:36:00,102436.08,191999.97,63851.38,366.00,-121.816586,0.956409
2017-09-13T23:41:00,82645.77,191999.97,63940.80,366.00,-122.801441,0.952078
2017-09-13T23:46:00,84605.24,191999.97,64080.42,366.00,-123.155943,0.948885
2017-09-13T23:51:00,86468.69,191999.97,64174.58,366.00,-122.940692,0.946789
2017-09-13T23:56:00,77570.43,191999.97,64383.79,366.00,-125.154218,0.939889
2017-09-14T00:01:00,83103.71,191999.97,64503.57,366.00,-125.739640,0.936057
2017-09-14T00:06:00,107454.35,191999.97,64255.98,366.00,-119.730962,0.947135
2017-09-14T00:11:00,83777.08,191999.97,64371.70,366.00,-120.199857,0.943708
2017-09-14T00:16:00,81290.40,191999.97,64465.98,366.00,-121.268999,0.939002
2017-09-14T00:21:00,85280.53,191999.97,64533.55,366.00,-121.235756,0.936523
2017-09-14T00:26:00,89198.38,191999.97,64693.50,366.00,-120.175257,0.936296
