DateTime,Metric,Capacity,CR,TR,beta, beta_std
2017-09-12T15:16:00,16657.16,63839.99,47182.83,366.00,0.000000,0.000000
2017-09-12T15:21:00,16753.41,63839.99,0.00,1.70,96.257813,0.000000
2017-09-12T15:26:00,16544.94,63839.99,47162.98,366.00,-56.108398,225.972803
2017-09-12T15:31:00,16563.06,63839.99,47213.57,366.00,-49.075000,101.329693
2017-09-12T15:36:00,16577.39,63839.99,47230.35,366.00,-34.987695,59.899463
2017-09-12T15:41:00,16631.41,63839.99,47199.33,366.00,-18.247991,41.639445
2017-09-12T15:46:00,16759.23,63839.99,10061.24,48.35,3.380859,34.029424
2017-09-12T15:51:00,16556.89,63839.99,47113.75,366.00,-4.750349,26.098183
2017-09-12T15:56:00,16581.86,63839.99,47130.69,366.00,-6.563639,20.259085
2017-09-12T16:01:00,16596.40,63839.99,47137.32,366.00,-6.335606,16.161979
2017-09-12T16:06:00,16646.38,63839.99,47127.63,366.00,-3.651758,13.328961
2017-09-12T16:11:00,16724.79,63839.99,35560.44,155.27,1.053069,11.552498
2017-09-12T16:16:00,16549.87,63839.99,47095.48,366.00,-1.904726,9.967423
2017-09-12T16:21:00,16592.46,63839.99,47106.94,366.00,-2.492471,8.544666
2017-09-12T16:26:00,16601.40,63839.99,47115.33,366.00,-2.588756,7.400174
2017-09-12T16:31:00,16651.41,63839.99,47113.73,366.00,-1.492963,6.511197
2017-09-12T16:36:00,16722.59,63839.99,39602.43,239.04,0.684044,5.915120
2017-09-12T16:41:00,16584.77,63839.99,47081.46,366.00,-0.218167,5.288078
2017-09-12T16:46:00,16609.70,63839.99,47090.22,366.00,-0.466828,4.732506
2017-09-12T16:51:00,16590.76,63839.99,47100.35,366.00,-0.911889,4.267514
2017-09-12T16:56:00,16611.97,63839.99,47103.66,366.00,-0.954066,3.860205
2017-09-12T17:01:00,16617.47,63839.99,47114.93,366.00,-0.909256,3.508629
2017-09-12T17:06:00,16495.00,63839.99,47115.04,366.00,-2.196418,3.304327
2017-09-12T17:11:00,16514.51,63839.99,47118.63,366.00,-2.970510,3.067320
2017-09-12T17:16:00,16549.23,63839.99,47131.17,366.00,-3.225174,2.826031
2017-09-12T17:21:00,16578.35,63839.99,47134.88,366.00,-3.148992,2.608743
2017-09-12T17:26:00,16651.06,63839.99,47126.63,366.00,-2.486499,2.450199
2017-09-12T17:31:00,16507.42,63839.99,47151.70,366.00,-2.999188,2.297119
2017-09-12T17:36:00,16530.47,63839.99,47155.41,366.00,-3.233194,2.143407
2017-09-12T17:41:00,16546.71,63839.99,47159.21,366.00,-3.297770,2.000747
2017-09-12T17:46:00,16545.54,63839.99,47162.54,366.00,-3.337758,1.871689
2017-09-12T17:51:00,16603.53,63839.99,47164.32,366.00,-3.022260,1.765294
2017-09-12T17:56:00,16451.49,63839.99,47174.51,366.00,-3.557664,1.690479
2017-09-12T18:01:00,16513.38,63839.99,47177.27,366.00,-3.674002,1.592547
2017-09-12T18:06:00,16471.49,63839.99,47182.53,366.00,-3.953469,1.511172
2017-09-12T18:11:00,16560.83,63839.99,47182.07,366.00,-3.768628,1.431611
2017-09-12T18:16:00,16594.20,63839.99,47183.71,366.00,-3.453683,1.367723
2017-09-12T18:21:00,16494.72,63839.99,47202.80,366.00,-3.574705,1.297781
2017-09-12T18:26:00,16539.87,63839.99,47208.99,366.00,-3.490635,1.232244
2017-09-12T18:31:00,16528.84,63839.99,47213.11,366.00,-3.446148,1.170904
2017-09-12T18:36:00,16588.00,63839.99,47204.84,366.00,-3.189728,1.124560
2017-09-12T18:41:00,16608.85,63839.99,47196.50,366.00,-2.888351,1.086433
2017-09-12T18:46:00,16528.73,63839.99,47199.89,366.00,-2.872033,1.035920
2017-09-12T18:51:00,16536.25,63839.99,47203.83,366.00,-2.826357,0.989193
2017-09-12T18:56:00,16545.44,63839.99,47204.04,366.00,-2.751684,0.946282
2017-09-12T19:01:00,16589.52,63839.99,47191.40,366.00,-2.556358,0.912758
2017-09-12T19:06:00,16628.11,63839.99,47174.78,366.00,-2.275502,0.890144
2017-09-12T19:11:00,16469.61,63839.99,47187.88,366.00,-2.426852,0.857893
2017-09-12T19:16:00,16483.23,63839.99,47190.63,366.00,-2.521114,0.824814
2017-09-12T19:21:00,16523.48,63839.99,47189.00,366.00,-2.503861,0.791876
2017-09-12T19:26:00,16578.38,63839.99,47188.14,366.00,-2.358682,0.765792
2017-09-12T19:31:00,16549.98,63839.99,47202.65,366.00,-2.286333,0.737606
2017-09-12T19:36:00,16451.80,63839.99,47195.39,366.00,-2.422890,0.714472
