DateTime,Metric,Capacity,CR,TR,beta,r2
2017-09-02T05:24:00,13141.91,19177.78,6035.87,366.00,0.000000,0.000000
2017-09-02T05:29:00,13139.11,19177.78,6034.53,366.00,-2.796875,1.000000
2017-09-02T05:34:00,13138.34,19177.78,6035.33,366.00,-1.782227,0.954166
2017-09-02T05:39:00,13146.93,19177.78,6029.41,366.00,1.428516,1.992950
2017-09-02T05:44:00,13183.24,19177.78,5987.08,366.00,9.047070,0.876725
2017-09-02T05:49:00,13221.11,19177.78,0.00,1.34,15.342215,0.512292
2017-09-02T05:54:00,13151.34,19177.78,5977.92,366.00,8.470738,1.093679
2017-09-02T05:59:00,13120.70,19177.78,5983.16,366.00,2.348668,1.524736
2017-09-02T06:04:00,13137.53,19177.78,5980.02,366.00,0.457064,1.561037
2017-09-02T06:09:00,13180.26,19177.78,5980.71,366.00,1.800101,1.506381
2017-09-02T06:14:00,13148.70,19177.78,5977.81,366.00,1.016140,1.528803
2017-09-02T06:19:00,13300.61,19177.78,5903.97,366.00,6.367246,1.109474
2017-09-02T06:24:00,13155.29,19177.78,5909.13,366.00,4.600742,1.197111
2017-09-02T06:29:00,13184.37,19177.78,5910.94,366.00,4.189973,1.191540
2017-09-02T06:34:00,13177.71,19177.78,5911.66,366.00,3.651622,1.202633
2017-09-02T06:39:00,7064.10,19177.78,2425.23,366.00,-131.648114,1.009756
2017-09-02T06:44:00,3849.62,19177.78,1447.92,366.00,-284.948640,0.843085
2017-09-02T06:49:00,3821.09,19177.78,4038.93,366.00,-388.029328,0.707552
2017-09-02T06:54:00,4061.02,19177.78,6221.18,366.00,-451.898253,0.603070
2017-09-02T06:59:00,4012.87,19177.78,5717.75,366.00,-492.663525,0.521635
2017-09-02T07:04:00,3957.80,19177.78,7739.99,366.00,-517.157411,0.457963
2017-09-02T07:09:00,3935.95,19177.78,8630.28,366.00,-529.678779,0.408402
2017-09-02T07:14:00,3939.03,19177.78,9279.44,366.00,-533.415003,0.370171
2017-09-02T07:19:00,3944.76,19177.78,9739.13,366.00,-530.900533,0.340961
2017-09-02T07:24:00,3986.26,19177.78,10119.25,366.00,-523.659381,0.319330
2017-09-02T07:29:00,3943.49,19177.78,10524.31,366.00,-513.855287,0.302922
2017-09-02T07:34:00,3942.63,19177.78,10818.37,366.00,-502.002893,0.291148
2017-09-02T07:39:00,10197.05,19177.78,6259.59,366.00,-442.590839,0.403252
2017-09-02T07:44:00,13283.28,19177.78,4373.57,366.00,-370.314744,0.577970
2017-09-02T07:49:00,13195.93,19177.78,3844.92,366.00,-309.735724,0.709600
2017-09-02T07:54:00,13174.06,19177.78,1255.59,366.00,-258.407701,0.810403
2017-09-02T07:59:00,13167.18,19177.78,1737.81,366.00,-214.691318,0.887887
2017-09-02T08:04:00,13151.80,19177.78,1357.64,366.00,-177.389946,0.947258
2017-09-02T08:09:00,13163.08,19177.78,1463.80,366.00,-145.343732,0.992837
2017-09-02T08:14:00,13387.14,19177.78,1433.49,366.00,-116.726885,1.029130
2017-09-02T08:19:00,13240.26,19177.78,1306.91,366.00,-92.757553,1.055200
2017-09-02T08:24:00,13265.89,19177.78,1296.87,366.00,-71.965336,1.074460
2017-09-02T08:29:00,13232.25,19177.78,1219.48,366.00,-54.132585,1.088093
2017-09-02T08:34:00,13164.52,19177.78,1176.47,366.00,-38.958455,1.097292
2017-09-02T08:39:00,13160.42,19177.78,1147.40,366.00,-25.821907,1.103216
2017-09-02T08:44:00,13161.10,19177.78,1112.96,366.00,-14.423873,1.106560
2017-09-02T08:49:00,13235.34,19177.78,1099.52,366.00,-4.283849,1.107869
2017-09-02T08:54:00,13156.26,19177.78,1051.76,366.00,4.268416,1.107537
2017-09-02T08:59:00,13191.56,19177.78,1055.30,366.00,11.800338,1.105929
2017-09-02T09:04:00,13127.97,19177.78,1014.74,366.00,18.153145,1.103420
2017-09-02T09:09:00,13128.39,19177.78,1016.02,366.00,23.663359,1.100192
2017-09-02T09:14:00,13119.31,19177.78,998.35,366.00,28.412375,1.096439
2017-09-02T09:19:00,13111.86,19177.78,992.89,366.00,32.500515,1.092307
2017-09-02T09:24:00,13082.63,19177.78,984.21,366.00,35.956912,1.087970
