DateTime,Metric,Capacity,CR,TR,beta,beta_std,TrBand
2017-09-02T15:24:00,65669.66,158405.61,92735.95,366.00,0.000000,NaN,NaN
2017-09-02T15:29:00,65636.04,158405.61,92769.57,366.00,-33.617188,0.000000,0.000000
2017-09-02T15:34:00,65640.09,158405.61,92761.76,366.00,-14.785156,0.389073,0.000000
2017-09-02T15:39:00,65474.11,158405.61,92822.25,366.00,-58.258203,0.500669,0.000000
2017-09-02T15:44:00,65521.64,158405.61,92859.32,366.00,-45.796484,0.420868,0.000000
2017-09-02T15:49:00,66026.51,158405.61,92744.27,366.00,36.430804,0.875925,0.000000
2017-09-02T15:54:00,65794.91,158405.61,92725.19,366.00,37.080776,0.999601,0.000000
2017-09-02T15:59:00,66252.94,158405.61,92653.62,366.00,72.430153,1.078011,0.000000
2017-09-02T16:04:00,65549.91,158405.61,92676.08,366.00,37.229622,1.067853,0.000000
2017-09-02T16:09:00,65907.91,158405.61,92658.24,366.00,36.805492,1.050954,0.000000
2017-09-02T16:14:00,65806.94,158405.61,92652.82,366.00,30.311683,1.038421,0.000000
2017-09-02T16:19:00,65526.45,158405.61,92671.68,366.00,14.611260,1.051613,0.000000
2017-09-02T16:24:00,65660.68,158405.61,92677.32,366.00,9.065612,1.075061,0.000000
2017-09-02T16:29:00,65583.18,158405.61,92687.68,366.00,3.106473,1.112307,0.000000
2017-09-02T16:34:00,65654.16,158405.61,92691.93,366.00,0.929980,1.154082,0.000000
2017-09-02T16:39:00,65725.45,158405.61,92691.20,366.00,1.025689,1.193737,0.000000
2017-09-02T16:44:00,65627.83,158405.61,92696.29,366.00,-0.842955,1.233288,0.000000
2017-09-02T16:49:00,65942.59,158405.61,92683.33,366.00,3.382571,1.262044,0.000000
2017-09-02T16:54:00,65488.02,158405.61,92695.66,366.00,-0.823616,1.298619,0.000000
2017-09-02T16:59:00,66322.70,158405.61,92665.02,366.00,8.047583,1.310082,0.000000
2017-09-02T17:04:00,65615.45,158405.61,92670.98,366.00,5.324995,1.328328,0.000000
2017-09-02T17:09:00,65743.88,158405.61,92670.56,366.00,4.740103,1.347138,0.000000
2017-09-02T17:14:00,65425.83,158405.61,92684.01,366.00,0.786523,1.377864,0.000000
2017-09-02T17:19:00,65379.48,158405.61,92698.26,366.00,-2.729076,1.403756,0.000000
2017-09-02T17:24:00,65701.28,158405.61,92698.51,366.00,-2.470174,1.429165,0.000000
2017-09-02T17:29:00,65586.46,158405.61,92703.15,366.00,-3.226851,1.451703,0.000000
2017-09-02T17:34:00,65718.23,158405.61,92702.56,366.00,-2.755957,1.474398,0.000000
2017-09-02T17:39:00,65490.95,158405.61,92710.14,366.00,-4.038064,1.492974,0.000000
2017-09-02T17:44:00,65577.02,158405.61,92714.22,366.00,-4.451208,1.509585,0.000000
2017-09-02T17:49:00,65679.69,158405.61,92714.61,366.00,-4.095938,1.526166,0.000000
2017-09-02T17:54:00,65436.27,158405.61,92722.83,366.00,-5.252621,1.539060,0.000000
2017-09-02T17:59:00,65602.30,158405.61,92725.34,366.00,-5.232366,1.551179,0.000000
2017-09-02T18:04:00,66015.86,158405.61,92715.17,366.00,-2.976074,1.568264,0.000000
2017-09-02T18:09:00,65605.53,158405.61,92717.67,366.00,-3.149075,1.584248,0.000000
2017-09-02T18:14:00,65817.03,158405.61,92713.98,366.00,-2.271928,1.601998,0.000000
2017-09-02T18:19:00,65515.65,158405.61,92718.87,366.00,-2.880398,1.617526,0.000000
2017-09-02T18:24:00,65510.02,158405.61,92723.65,366.00,-3.407136,1.631070,0.000000
2017-09-02T18:29:00,65546.57,158405.61,92727.21,366.00,-3.693198,1.672694,0.000000
2017-09-02T18:34:00,65529.50,158405.61,92731.03,366.00,-3.988915,1.697752,0.000000
2017-09-02T18:39:00,65885.15,158405.61,92725.76,366.00,-2.926679,1.695542,0.000000
2017-09-02T18:44:00,65548.80,158405.61,92728.96,366.00,-3.174248,1.698454,0.000000
2017-09-02T18:49:00,65906.56,158405.61,92723.49,366.00,-2.188960,1.797562,0.000000
2017-09-02T18:54:00,65073.39,158405.61,92737.64,366.00,-3.970156,1.898020,0.000000
2017-09-02T18:59:00,66081.39,158405.61,92728.25,366.00,-2.452682,1.695682,0.000000
2017-09-02T19:04:00,65339.35,158405.61,92735.76,366.00,-3.272468,1.670520,0.000000
2017-09-02T19:09:00,66597.50,158405.61,92715.59,366.00,-0.489171,1.529192,0.000000
2017-09-02T19:14:00,66255.41,158405.61,92703.56,366.00,1.045094,1.222884,0.000000
2017-09-02T19:19:00,65815.16,158405.61,92701.21,366.00,1.269650,1.107363,0.000000
