DateTime,Metric,Capacity,CR,TR,beta,beta_std,TrBand
2017-09-11T13:21:00,22493.26,110399.90,87906.64,366.00,0.000000,NaN,NaN
2017-09-11T13:26:00,22385.44,110399.90,88014.46,366.00,-107.824219,0.000000,0.000000
2017-09-11T13:31:00,22508.47,110399.90,87937.51,366.00,7.605469,1.000000,0.000000
2017-09-11T13:36:00,22395.07,110399.90,87954.34,366.00,-17.154492,1.122727,0.000000
2017-09-11T13:41:00,22254.19,110399.90,87992.61,366.00,-46.852148,0.960810,0.000000
2017-09-11T13:46:00,22241.79,110399.90,88072.40,366.00,-50.414118,0.842549,0.000000
2017-09-11T13:51:00,22532.64,110399.90,87879.16,366.00,-15.122907,0.902414,0.000000
2017-09-11T13:56:00,22370.84,110399.90,87884.30,366.00,-12.641067,0.958446,0.000000
2017-09-11T14:01:00,22371.58,110399.90,88005.09,366.00,-10.591178,1.012324,0.000000
2017-09-11T14:06:00,25410.58,110399.90,87703.51,366.00,156.793951,1.425318,0.000000
2017-09-11T14:11:00,27667.40,110399.90,87251.60,366.00,343.550586,1.613158,0.000000
2017-09-11T14:16:00,23415.78,110399.90,87229.31,366.00,274.557351,1.458605,0.000000
2017-09-11T14:21:00,22344.04,110399.90,87292.89,366.00,188.474835,1.345052,0.000000
2017-09-11T14:26:00,22437.33,110399.90,87340.73,366.00,131.646175,1.278108,0.000000
2017-09-11T14:31:00,22355.63,110399.90,87387.63,366.00,89.374009,1.246246,0.000000
2017-09-11T14:36:00,22573.55,110399.90,87415.05,366.00,63.924443,1.235629,0.000000
2017-09-11T14:41:00,22382.00,110399.90,87450.51,366.00,41.449889,1.243742,0.000000
2017-09-11T14:46:00,22263.45,110399.90,87488.62,366.00,22.871140,1.267918,0.000000
2017-09-11T14:51:00,22538.71,110399.90,87508.23,366.00,13.557813,1.299717,0.000000
2017-09-11T14:56:00,22239.28,110399.90,87540.85,366.00,2.301138,1.342079,0.000000
2017-09-11T15:01:00,22370.84,110399.90,87564.10,366.00,-4.353031,1.383192,0.000000
2017-09-11T15:06:00,22370.23,110399.90,87585.26,366.00,-9.305888,1.419933,0.000000
2017-09-11T15:11:00,22269.64,110399.90,87608.95,366.00,-14.066563,1.452253,0.000000
2017-09-11T15:16:00,22287.86,110399.90,87629.92,366.00,-17.409448,1.480849,0.000000
2017-09-11T15:21:00,22451.92,110399.90,87642.64,366.00,-18.336594,1.507067,0.000000
