DateTime,Metric,Capacity,CR,TR,beta,beta_std,TrBand
2017-09-02T05:24:00,13141.91,19177.78,6035.87,366.00,0.000000,NaN,NaN
2017-09-02T05:29:00,13139.11,19177.78,6038.67,366.00,-2.796875,0.000000,0.000000
2017-09-02T05:34:00,13138.34,19177.78,6039.24,366.00,-1.782227,0.221582,0.000000
2017-09-02T05:39:00,13146.93,19177.78,6036.21,366.00,1.428516,0.899357,0.000000
2017-09-02T05:44:00,13183.24,19177.78,6027.88,366.00,9.047070,1.233400,0.000000
2017-09-02T05:49:00,13221.11,19177.78,6016.01,366.00,15.342215,1.139756,0.000000
2017-09-02T05:54:00,13151.34,19177.78,6017.50,366.00,8.470738,1.006207,0.000000
2017-09-02T05:59:00,13120.70,19177.78,6022.45,366.00,2.348668,1.036504,0.000000
2017-09-02T06:04:00,13137.53,19177.78,6024.43,366.00,0.457064,1.126739,0.000000
2017-09-02T06:09:00,13180.26,19177.78,6021.74,366.00,1.800101,1.155035,0.000000
2017-09-02T06:14:00,13148.70,19177.78,6022.40,366.00,1.016140,1.204560,0.000000
2017-09-02T06:19:00,13300.61,19177.78,6010.30,366.00,6.367246,1.119144,0.000000
2017-09-02T06:24:00,13155.29,19177.78,6011.24,366.00,4.600742,1.073029,0.000000
2017-09-02T06:29:00,13184.37,19177.78,6009.97,366.00,4.189973,1.038570,0.000000
2017-09-02T06:34:00,13177.71,19177.78,6009.31,366.00,3.651622,1.015686,0.000000
2017-09-02T06:39:00,7064.10,19177.78,6390.83,366.00,-131.648114,2.623275,0.000000
2017-09-02T06:44:00,3849.62,19177.78,6916.56,366.00,-284.948640,2.511917,0.000000
2017-09-02T06:49:00,3821.09,19177.78,7385.45,366.00,-388.029328,2.210234,0.000000
2017-09-02T06:54:00,4061.02,19177.78,7792.36,366.00,-451.898253,1.964541,0.000000
2017-09-02T06:59:00,4012.87,19177.78,8160.99,366.00,-492.663525,1.775917,0.000000
2017-09-02T07:04:00,3957.80,19177.78,8497.13,366.00,-517.157411,1.628083,0.000000
2017-09-02T07:09:00,3935.95,19177.78,8803.71,366.00,-529.678779,1.509024,0.000000
2017-09-02T07:14:00,3939.03,19177.78,9083.50,366.00,-533.415003,1.410850,0.000000
2017-09-02T07:19:00,3944.76,19177.78,9339.73,366.00,-530.900533,1.328339,0.000000
2017-09-02T07:24:00,3986.26,19177.78,9573.80,366.00,-523.659381,1.257902,0.000000
2017-09-02T07:29:00,3943.49,19177.78,9791.51,366.00,-513.855287,1.197042,0.000000
2017-09-02T07:34:00,3942.63,19177.78,9993.13,366.00,-502.002893,1.143910,0.000000
2017-09-02T07:39:00,10197.05,19177.78,9956.97,366.00,-442.590839,1.097581,0.000000
2017-09-02T07:44:00,13283.28,19177.78,9816.88,366.00,-370.314744,1.059666,0.000000
2017-09-02T07:49:00,13195.93,19177.78,9689.05,366.00,-309.735724,1.030232,0.000000
2017-09-02T07:54:00,13174.06,19177.78,9570.17,366.00,-258.407701,1.008666,0.000000
2017-09-02T07:59:00,13167.18,19177.78,9458.93,366.00,-214.691318,0.994182,0.000000
2017-09-02T08:04:00,13151.80,19177.78,9354.90,366.00,-177.389946,0.985978,0.000000
2017-09-02T08:09:00,13163.08,19177.78,2776.81,366.00,-145.343732,0.983329,0.000000
2017-09-02T08:14:00,13387.14,19177.78,9157.63,366.00,-116.726885,0.985767,0.000000
2017-09-02T08:19:00,13240.26,19177.78,9068.18,366.00,-92.757553,0.992542,0.000000
2017-09-02T08:24:00,13265.89,19177.78,8982.88,366.00,-71.965336,1.003140,0.000000
2017-09-02T08:29:00,13232.25,19177.78,8902.95,366.00,-54.132585,0.990781,0.000000
2017-09-02T08:34:00,13164.52,19177.78,800.43,366.00,-38.958455,0.981701,0.000000
2017-09-02T08:39:00,13160.42,19177.78,468.16,366.00,-25.821907,0.975296,0.000000
2017-09-02T08:44:00,13161.10,19177.78,155.71,366.00,-14.423873,0.971604,0.000000
2017-09-02T08:49:00,13235.34,19177.78,0.00,0.02,-4.283849,0.970346,0.000000
2017-09-02T08:54:00,13156.26,19177.78,0.00,0.02,4.268416,0.970302,0.000000
2017-09-02T08:59:00,13191.56,19177.78,0.00,0.02,11.800338,0.970405,0.000000
2017-09-02T09:04:00,13127.97,19177.78,0.00,0.02,18.153145,0.970614,0.000000
2017-09-02T09:09:00,13128.39,19177.78,0.00,0.01,23.663359,0.970900,0.000000
2017-09-02T09:14:00,13119.31,19177.78,0.00,0.01,28.412375,0.971265,0.000000
2017-09-02T09:19:00,13111.86,19177.78,8302.77,366.00,32.500515,0.971660,0.000000
2017-09-02T09:24:00,13082.63,19177.78,8257.72,366.00,35.956912,0.972113,0.000000
2017-09-02T09:29:00,13120.49,19177.78,8213.71,366.00,39.019285,0.972599,0.000000
2017-09-02T09:34:00,13131.82,19177.78,8171.21,366.00,41.672591,0.973098,0.000000
2017-09-02T09:39:00,6797.85,19177.78,8252.14,366.00,30.151081,1.000358,0.000000
2017-09-02T09:44:00,3803.14,19177.78,8386.53,366.00,13.544164,1.047519,0.000000
2017-09-02T09:49:00,3810.03,19177.78,8515.81,366.00,-1.298086,1.102605,0.000000
2017-09-02T09:54:00,3797.69,19177.78,8640.62,366.00,-14.600514,1.157745,0.000000
2017-09-02T09:59:00,3778.79,19177.78,8761.30,366.00,-26.535784,1.211208,0.000000
2017-09-02T10:04:00,3799.83,19177.78,8877.38,366.00,-37.171674,1.261896,0.000000
2017-09-02T10:09:00,3772.36,19177.78,8989.94,366.00,-46.727590,1.308603,0.000000
2017-09-02T10:14:00,3760.33,19177.78,9098.88,366.00,-55.285308,1.349573,0.000000
2017-09-02T10:19:00,3795.42,19177.78,9203.60,366.00,-62.867147,1.381956,0.000000
2017-09-02T10:24:00,3741.76,19177.78,9305.77,366.00,-69.712691,1.400926,0.000000
2017-09-02T10:29:00,3755.07,19177.78,9404.43,366.00,-75.789259,1.397666,0.000000
2017-09-02T10:34:00,3736.69,19177.78,9500.25,366.00,-81.219758,1.355513,0.000000
2017-09-02T10:39:00,10033.08,19177.78,9494.70,366.00,-76.958344,1.293405,0.000000
2017-09-02T10:44:00,13098.46,19177.78,9442.15,366.00,-68.683496,1.228618,0.000000
2017-09-02T10:49:00,13123.69,19177.78,9390.82,366.00,-61.011017,1.163857,0.000000
2017-09-02T10:54:00,13056.22,19177.78,9342.02,366.00,-54.013930,1.102894,0.000000
2017-09-02T10:59:00,13049.68,19177.78,9294.76,366.00,-47.555625,1.050050,0.000000
2017-09-02T11:04:00,13060.79,19177.78,9248.71,366.00,-41.569992,1.009256,0.000000
2017-09-02T11:09:00,13049.10,19177.78,9204.13,366.00,-36.046880,0.983242,0.000000
2017-09-02T11:14:00,13045.00,19177.78,9160.88,366.00,-30.940057,0.973422,0.000000
2017-09-02T11:19:00,13087.12,19177.78,9118.23,366.00,-26.163734,0.976829,0.000000
2017-09-02T11:24:00,13053.10,19177.78,9077.23,366.00,-21.778105,0.989294,0.000000
2017-09-02T11:29:00,13054.71,19177.78,9037.31,366.00,-17.713297,1.005920,0.000000
2017-09-02T11:34:00,13059.49,19177.78,8998.39,366.00,-13.941440,1.022380,0.000000
2017-09-02T11:39:00,13064.08,19177.78,8960.43,366.00,-10.440631,1.035367,0.000000
2017-09-02T11:44:00,13063.17,19177.78,8923.47,366.00,-7.196097,1.042666,0.000000
2017-09-02T11:49:00,13101.24,19177.78,8886.97,366.00,-4.150749,1.042820,0.000000
2017-09-02T11:54:00,13068.91,19177.78,8851.81,366.00,-1.357665,1.042643,0.000000
2017-09-02T11:59:00,13201.10,19177.78,8815.87,366.00,1.354774,1.045261,0.000000
2017-09-02T12:04:00,13130.50,19177.78,8781.69,366.00,3.806186,1.047352,0.000000
2017-09-02T12:09:00,13129.38,19177.78,8748.35,366.00,6.078208,1.048100,0.000000
2017-09-02T12:14:00,13131.15,19177.78,8715.80,366.00,8.186193,1.046839,0.000000
2017-09-02T12:19:00,13130.00,19177.78,8684.04,366.00,10.139305,1.042984,0.000000
2017-09-02T12:24:00,13119.39,19177.78,8653.15,366.00,11.940723,1.036012,0.000000
2017-09-02T12:29:00,13142.24,19177.78,8622.71,366.00,13.628102,1.025281,0.000000
2017-09-02T12:34:00,13141.70,19177.78,8592.98,366.00,15.190648,1.010105,0.000000
2017-09-02T12:39:00,6804.74,19177.78,8635.94,366.00,11.782744,1.002016,0.000000
2017-09-02T12:44:00,3828.23,19177.78,8711.37,366.00,6.361064,1.000971,0.000000
2017-09-02T12:49:00,3828.78,19177.78,8785.12,366.00,1.288623,1.002976,0.000000
2017-09-02T12:54:00,3815.91,19177.78,8857.39,366.00,-3.466786,1.018896,0.000000
2017-09-02T12:59:00,3812.99,19177.78,8928.13,366.00,-7.918349,1.041186,0.000000
2017-09-02T13:04:00,3812.17,19177.78,8997.35,366.00,-12.083949,1.066031,0.000000
2017-09-02T13:09:00,3841.95,19177.78,9064.78,366.00,-15.961134,1.090531,0.000000
2017-09-02T13:14:00,3880.11,19177.78,9130.39,366.00,-19.562937,1.112072,0.000000
2017-09-02T13:19:00,3817.80,19177.78,9195.28,366.00,-22.971813,1.127849,0.000000
2017-09-02T13:24:00,3789.19,19177.78,9259.13,366.00,-26.177691,1.134426,0.000000
2017-09-02T13:29:00,3783.04,19177.78,9321.74,366.00,-29.178872,1.127059,0.000000
2017-09-02T13:34:00,3798.41,19177.78,9382.92,366.00,-31.974799,1.098325,0.000000
2017-09-02T13:39:00,10374.16,19177.78,9377.13,366.00,-30.680916,1.062356,0.000000
2017-09-02T13:44:00,13183.70,19177.78,9343.64,366.00,-27.808210,1.029569,0.000000
2017-09-02T13:49:00,13159.25,19177.78,9311.04,366.00,-25.099289,1.001409,0.000000
2017-09-02T13:54:00,13204.99,19177.78,9278.63,366.00,-22.505457,0.978890,0.000000
2017-09-02T13:59:00,13201.81,19177.78,9246.87,366.00,-20.047800,0.962855,0.000000
2017-09-02T14:04:00,13303.21,19177.78,9214.75,366.00,-17.662459,0.953781,0.000000
2017-09-02T14:09:00,13121.85,19177.78,9184.95,366.00,-15.496210,0.951414,0.000000
2017-09-02T14:14:00,13046.52,19177.78,9156.41,366.00,-13.480253,0.955004,0.000000
2017-09-02T14:43:00,13053.05,19177.78,8995.58,366.00,-3.357860,1.024537,0.000000
2017-09-02T14:48:00,13064.21,19177.78,8970.30,366.00,-1.951266,1.031016,0.000000
2017-09-02T14:53:00,13220.79,19177.78,8944.10,366.00,-0.545489,1.033677,0.000000
2017-09-02T14:58:00,13158.66,19177.78,8918.89,366.00,0.761591,1.034113,0.000000
2017-09-02T15:03:00,13201.95,19177.78,8893.73,366.00,2.021261,1.034911,0.000000
2017-09-02T15:08:00,13092.78,19177.78,8869.93,366.00,3.170446,1.035402,0.000000
2017-09-02T15:13:00,13136.88,19177.78,8846.16,366.00,4.279849,1.034966,0.000000
2017-09-02T15:18:00,13086.63,19177.78,8823.20,366.00,5.312167,1.033046,0.000000
2017-09-02T15:23:00,13094.32,19177.78,8800.55,366.00,6.295101,1.029104,0.000000
2017-09-02T15:28:00,13042.31,19177.78,8778.71,366.00,7.207169,1.022541,0.000000
2017-09-02T15:33:00,13066.78,19177.78,8757.02,366.00,8.082254,1.012729,0.000000
2017-09-02T15:38:00,7369.14,19177.78,8781.63,366.00,6.707007,1.007189,0.000000
2017-09-02T15:43:00,3757.42,19177.78,8834.74,366.00,4.018275,1.006218,0.000000
2017-09-02T15:48:00,3753.73,19177.78,8887.04,366.00,1.452672,1.006172,0.000000
2017-09-02T15:53:00,3737.14,19177.78,8938.64,366.00,-1.000275,1.015180,0.000000
2017-09-02T15:58:00,3738.63,19177.78,8989.43,366.00,-3.339120,1.029137,0.000000
2017-09-02T16:03:00,3726.46,19177.78,9039.52,366.00,-5.574011,1.045311,0.000000
2017-09-02T16:08:00,3748.01,19177.78,9088.67,366.00,-7.697774,1.061391,0.000000
2017-09-02T16:13:00,3783.49,19177.78,9136.81,366.00,-9.710758,1.075290,0.000000
2017-09-02T16:18:00,3815.77,19177.78,9183.97,366.00,-11.619267,1.084882,0.000000
2017-09-02T16:23:00,3798.97,19177.78,9230.55,366.00,-13.444705,1.087592,0.000000
2017-09-02T16:28:00,3790.93,19177.78,9276.49,366.00,-15.187826,1.080109,0.000000
2017-09-02T16:33:00,3771.47,19177.78,9321.90,366.00,-16.856011,1.057798,0.000000
2017-09-02T16:38:00,10923.46,19177.78,9314.05,366.00,-16.143116,1.032411,0.000000
2017-09-02T16:43:00,15361.07,19177.78,9273.92,366.00,-14.047549,1.011052,0.000000
2017-09-02T16:48:00,15349.03,19177.78,9234.46,366.00,-12.041153,0.994439,0.000000
2017-09-02T16:53:00,15356.67,19177.78,9195.52,366.00,-10.114059,0.983468,0.000000
2017-09-02T16:58:00,15387.07,19177.78,9156.91,366.00,-8.256069,0.978942,0.000000
2017-09-02T17:03:00,15355.04,19177.78,9119.08,366.00,-6.483153,0.981727,0.000000
2017-09-02T17:08:00,15355.30,19177.78,9081.78,366.00,-4.782110,0.992244,0.000000
2017-09-02T17:13:00,15358.54,19177.78,9044.98,366.00,-3.149109,1.011048,0.000000
2017-09-02T17:18:00,15360.52,19177.78,9008.67,366.00,-1.581738,1.038701,0.000000
2017-09-02T17:23:00,15353.95,19177.78,8972.92,366.00,-0.079748,1.075661,0.000000
2017-09-02T17:28:00,15352.96,19177.78,8937.66,366.00,1.361102,1.108967,0.000000
2017-09-02T17:33:00,15350.97,19177.78,8902.89,366.00,2.743010,1.136042,0.000000
2017-09-02T17:38:00,15357.12,19177.78,8868.55,366.00,4.070575,1.155339,0.000000
2017-09-02T17:43:00,15337.24,19177.78,8834.80,366.00,5.338963,1.165898,0.000000
2017-09-02T17:48:00,15313.51,19177.78,8801.67,366.00,6.549587,1.167416,0.000000
2017-09-02T17:53:00,15317.41,19177.78,8768.94,366.00,7.712047,1.159869,0.000000
2017-09-02T17:58:00,15340.23,19177.78,8736.50,366.00,8.833118,1.151442,0.000000
2017-09-02T18:03:00,15312.93,19177.78,8704.66,366.00,9.901596,1.146653,0.000000
2017-09-02T18:08:00,15323.46,19177.78,8673.16,366.00,10.929140,1.144553,0.000000
2017-09-02T18:13:00,15339.46,19177.78,8641.97,366.00,11.918677,1.144551,0.000000
2017-09-02T18:18:00,15330.80,19177.78,8611.23,366.00,12.865597,1.146102,0.000000
2017-09-02T18:23:00,15320.81,19177.78,8580.95,366.00,13.771259,1.148812,0.000000
2017-09-02T18:28:00,15314.61,19177.78,8551.09,366.00,14.638192,1.152348,0.000000
2017-09-02T18:33:00,15331.84,19177.78,8521.50,366.00,15.473431,1.156481,0.000000
2017-09-02T18:38:00,8123.59,19177.78,8537.33,366.00,14.595194,1.156237,0.000000
2017-09-02T18:43:00,3694.95,19177.78,8580.47,366.00,12.727143,1.148318,0.000000
2017-09-02T18:48:00,3720.23,19177.78,8622.92,366.00,10.930283,1.132743,0.000000
2017-09-02T18:53:00,3741.89,19177.78,8664.72,366.00,9.201166,1.116392,0.000000
2017-09-02T18:58:00,3727.20,19177.78,8706.10,366.00,7.529245,1.107418,0.000000
2017-09-02T19:03:00,3734.23,19177.78,8746.93,366.00,5.917281,1.104122,0.000000
2017-09-02T19:08:00,3734.87,19177.78,8787.27,366.00,4.361740,1.105251,0.000000
2017-09-02T19:13:00,3735.61,19177.78,8827.12,366.00,2.860645,1.109805,0.000000
2017-09-02T19:18:00,3735.99,19177.78,8866.49,366.00,1.412004,1.116855,0.000000
2017-09-02T19:23:00,3797.85,19177.78,8905.03,366.00,0.026813,1.125256,0.000000
2017-09-02T19:28:00,3771.10,19177.78,8943.28,366.00,-1.315588,1.123164,0.000000
2017-09-02T19:33:00,3771.98,19177.78,8981.07,366.00,-2.610987,1.106280,0.000000
2017-09-02T19:38:00,9515.85,19177.78,8985.03,366.00,-2.702999,1.082975,0.000000
2017-09-02T19:43:00,13039.68,19177.78,8968.57,366.00,-2.088941,1.061051,0.000000
2017-09-02T19:48:00,13033.67,19177.78,8952.34,366.00,-1.496588,1.041443,0.000000
2017-09-02T19:53:00,13035.28,19177.78,8936.28,366.00,-0.923708,1.025027,0.000000
2017-09-02T19:58:00,13032.05,19177.78,8920.43,366.00,-0.370580,1.012493,0.000000
2017-09-02T20:03:00,13040.14,19177.78,8904.70,366.00,0.165618,1.002574,0.000000
2017-09-02T20:08:00,13036.86,19177.78,8889.18,366.00,0.683296,0.991774,0.000000
2017-09-02T20:13:00,13053.63,19177.78,8873.73,366.00,1.186809,0.979569,0.000000
2017-09-02T20:18:00,13037.42,19177.78,8858.54,366.00,1.670521,0.965285,0.000000
2017-09-02T20:23:00,13039.85,19177.78,8843.51,366.00,2.138513,0.948160,0.000000
2017-09-02T20:28:00,13028.63,19177.78,8828.71,366.00,2.588839,0.939330,0.000000
2017-09-02T20:33:00,13064.86,19177.78,8813.87,366.00,3.030555,0.937488,0.000000
2017-09-02T20:38:00,13052.56,19177.78,8799.26,366.00,3.455319,0.940981,0.000000
2017-09-02T20:43:00,13035.36,19177.78,8784.90,366.00,3.862855,0.948366,0.000000
2017-09-02T20:48:00,13038.16,19177.78,8770.67,366.00,4.257201,0.958372,0.000000
2017-09-02T20:53:00,13086.53,19177.78,8756.35,366.00,4.646559,0.969847,0.000000
